module,authorizing_evaluation,distinctive_node,in_required_nodes,in_required_edges,in_activated_paths,load_bearing_status
agreement-controller-override-candidate,evaluations/protocol-tests/agreement-controller-override-heldout-scope-2026-06-09.json,agreement_controller_identification,yes,yes,yes,activated_path
agreement-controller-override-candidate,evaluations/protocol-tests/agreement-controller-override-heldout-scope-2026-06-09.json,agreement_feature_alignment,yes,yes,yes,activated_path
agreement-controller-override-candidate,evaluations/protocol-tests/agreement-controller-override-heldout-scope-2026-06-09.json,agreement_override_pattern,yes,yes,yes,activated_path
agreement-controller-override-candidate,evaluations/protocol-tests/agreement-controller-override-heldout-scope-2026-06-09.json,notional_agreement_basis,yes,yes,yes,activated_path
agreement-controller-override-candidate,evaluations/protocol-tests/agreement-controller-override-heldout-scope-2026-06-09.json,retrieval_attractor_salience,no,yes,no,required_edge
audience-reference-tracking-candidate,evaluations/protocol-tests/audience-reference-tracking-2026-06-08.json,audience_design,yes,yes,yes,activated_path
audience-reference-tracking-candidate,evaluations/protocol-tests/audience-reference-tracking-2026-06-08.json,personhood_ascription,yes,yes,yes,activated_path
audience-reference-tracking-candidate,evaluations/protocol-tests/audience-reference-tracking-2026-06-08.json,pronoun_feature_alignment,yes,yes,yes,activated_path
audience-reference-tracking-candidate,evaluations/protocol-tests/audience-reference-tracking-2026-06-08.json,reference_tracking_success,yes,yes,yes,activated_path
context-aware-operator-gap-candidate,evaluations/protocol-tests/context-aware-operator-gap-2026-06-07.json,competitor_availability,yes,yes,yes,activated_path
context-aware-operator-gap-candidate,evaluations/protocol-tests/context-aware-operator-gap-2026-06-07.json,constructional_analogy,yes,yes,no,required_edge
context-aware-operator-gap-candidate,evaluations/protocol-tests/context-aware-operator-gap-2026-06-07.json,opportunity_normalized_attestation,yes,yes,yes,activated_path
context-aware-operator-gap-candidate,evaluations/protocol-tests/context-aware-operator-gap-2026-06-07.json,preemption_strength,yes,yes,yes,activated_path
context-indexed-dynamic-feedback-candidate,evaluations/protocol-tests/context-indexed-dynamic-feedback-2026-06-07.json,diachronic_stabilization,yes,yes,yes,activated_path
context-indexed-dynamic-feedback-candidate,evaluations/protocol-tests/context-indexed-dynamic-feedback-2026-06-07.json,editorial_correction_probability,yes,yes,yes,activated_path
frame-specific-dependency-licensing-candidate,evaluations/protocol-tests/frame-specific-dependency-licensing-2026-06-09.json,construction_specific_dependency_licensing,yes,yes,yes,activated_path
frame-specific-dependency-licensing-candidate,evaluations/protocol-tests/frame-specific-dependency-licensing-2026-06-09.json,constructional_frame_fit,yes,yes,yes,activated_path
frame-specific-dependency-licensing-candidate,evaluations/protocol-tests/frame-specific-dependency-licensing-2026-06-09.json,constructional_function,yes,yes,yes,activated_path
processing-naturalness-perturbation-candidate,evaluations/protocol-tests/processing-naturalness-perturbation-2026-06-08.json,felt_naturalness_context,yes,yes,yes,activated_path
processing-naturalness-perturbation-candidate,evaluations/protocol-tests/processing-naturalness-perturbation-2026-06-08.json,measurement_task,yes,yes,no,required_edge
uptake-operator-boundary-candidate,evaluations/protocol-tests/uptake-operator-boundary-2026-06-08.json,repertoire_closedness,yes,yes,no,required_edge
uptake-operator-boundary-candidate,evaluations/protocol-tests/uptake-operator-boundary-2026-06-08.json,token_innovability,yes,yes,yes,activated_path
